COU,Country,PER,Periods,IND,Indicator,GEN,Gender,AGE,Age Group,VAL,Value,Value,Flag Codes,Flags
AUS,Australia,TIME00,2000,MORTAMII,Thirty-day mortality after admission to hospital for AMI based on unlinked data,M,Male,TOTAL_45,45 years old and over,LOW_CI,Lower confidence interval,9.4,,
AUS,Australia,TIME00,2000,MORTAMII,Thirty-day mortality after admission to hospital for AMI based on unlinked data,M,Male,TOTAL_45,45 years old and over,UP_CI,Upper confidence interval,10.3,,
AUS,Australia,TIME01,2001,MORTAMII,Thirty-day mortality after admission to hospital for AMI based on unlinked data,M,Male,TOTAL_45,45 years old and over,LOW_CI,Lower confidence interval,8.4,,
AUS,Australia,TIME01,2001,MORTAMII,Thirty-day mortality after admission to hospital for AMI based on unlinked data,M,Male,TOTAL_45,45 years old and over,UP_CI,Upper confidence interval,9.2,,
AUS,Australia,TIME02,2002,MORTAMII,Thirty-day mortality after admission to hospital for AMI based on unlinked data,M,Male,TOTAL_45,45 years old and over,LOW_CI,Lower confidence interval,8.5,,
AUS,Australia,TIME02,2002,MORTAMII,Thirty-day mortality after admission to hospital for AMI based on unlinked data,M,Male,TOTAL_45,45 years old and over,UP_CI,Upper confidence interval,9.2,,
AUS,Australia,TIME03,2003,MORTAMII,Thirty-day mortality after admission to hospital for AMI based on unlinked data,M,Male,TOTAL_45,45 years old and over,LOW_CI,Lower confidence interval,7.6,,
AUS,Australia,TIME03,2003,MORTAMII,Thirty-day mortality after admission to hospital for AMI based on unlinked data,M,Male,TOTAL_45,45 years old and over,UP_CI,Upper confidence interval,8.3,,
AUS,Australia,TIME04,2004,MORTAMII,Thirty-day mortality after admission to hospital for AMI based on unlinked data,M,Male,TOTAL_45,45 years old and over,LOW_CI,Lower confidence interval,6.9,,
AUS,Australia,TIME04,2004,MORTAMII,Thirty-day mortality after admission to hospital for AMI based on unlinked data,M,Male,TOTAL_45,45 years old and over,UP_CI,Upper confidence interval,7.6,,
AUS,Australia,TIME05,2005,MORTAMII,Thirty-day mortality after admission to hospital for AMI based on unlinked data,M,Male,TOTAL_45,45 years old and over,LOW_CI,Lower confidence interval,6.2,,
AUS,Australia,TIME05,2005,MORTAMII,Thirty-day mortality after admission to hospital for AMI based on unlinked data,M,Male,TOTAL_45,45 years old and over,UP_CI,Upper confidence interval,6.9,,
AUS,Australia,TIME06,2006,MORTAMII,Thirty-day mortality after admission to hospital for AMI based on unlinked data,M,Male,TOTAL_45,45 years old and over,LOW_CI,Lower confidence interval,6.1,,
AUS,Australia,TIME06,2006,MORTAMII,Thirty-day mortality after admission to hospital for AMI based on unlinked data,M,Male,TOTAL_45,45 years old and over,UP_CI,Upper confidence interval,6.7,,
AUS,Australia,TIME07,2007,MORTAMII,Thirty-day mortality after admission to hospital for AMI based on unlinked data,M,Male,TOTAL_45,45 years old and over,LOW_CI,Lower confidence interval,5.9,,
AUS,Australia,TIME07,2007,MORTAMII,Thirty-day mortality after admission to hospital for AMI based on unlinked data,M,Male,TOTAL_45,45 years old and over,UP_CI,Upper confidence interval,6.4,,
AUS,Australia,TIME08,2008,MORTAMII,Thirty-day mortality after admission to hospital for AMI based on unlinked data,M,Male,TOTAL_45,45 years old and over,LOW_CI,Lower confidence interval,5,,
AUS,Australia,TIME08,2008,MORTAMII,Thirty-day mortality after admission to hospital for AMI based on unlinked data,M,Male,TOTAL_45,45 years old and over,UP_CI,Upper confidence interval,5.5,,
AUS,Australia,TIME09,2009,MORTAMII,Thirty-day mortality after admission to hospital for AMI based on unlinked data,M,Male,TOTAL_45,45 years old and over,LOW_CI,Lower confidence interval,5,,
AUS,Australia,TIME09,2009,MORTAMII,Thirty-day mortality after admission to hospital for AMI based on unlinked data,M,Male,TOTAL_45,45 years old and over,UP_CI,Upper confidence interval,5.5,,
AUS,Australia,TIME10,2010,MORTAMII,Thirty-day mortality after admission to hospital for AMI based on unlinked data,M,Male,TOTAL_45,45 years old and over,LOW_CI,Lower confidence interval,4.8,,
AUS,Australia,TIME10,2010,MORTAMII,Thirty-day mortality after admission to hospital for AMI based on unlinked data,M,Male,TOTAL_45,45 years old and over,UP_CI,Upper confidence interval,5.3,,
AUS,Australia,TIME11,2011,MORTAMII,Thirty-day mortality after admission to hospital for AMI based on unlinked data,M,Male,TOTAL_45,45 years old and over,LOW_CI,Lower confidence interval,4.5,B,Break
AUS,Australia,TIME11,2011,MORTAMII,Thirty-day mortality after admission to hospital for AMI based on unlinked data,M,Male,TOTAL_45,45 years old and over,UP_CI,Upper confidence interval,5,B,Break
AUS,Australia,TIME12,2012,MORTAMII,Thirty-day mortality after admission to hospital for AMI based on unlinked data,M,Male,TOTAL_45,45 years old and over,LOW_CI,Lower confidence interval,4.1,,
AUS,Australia,TIME12,2012,MORTAMII,Thirty-day mortality after admission to hospital for AMI based on unlinked data,M,Male,TOTAL_45,45 years old and over,UP_CI,Upper confidence interval,4.6,,
AUS,Australia,TIME00,2000,MORTAMII,Thirty-day mortality after admission to hospital for AMI based on unlinked data,F,Female,TOTAL_45,45 years old and over,LOW_CI,Lower confidence interval,11.3,,
