COU,Country,PER,Periods,IND,Indicator,GEN,Gender,AGE,Age Group,VAL,Value,Value,Flag Codes,Flags
AUS,Australia,TIME10,2010,COSKCOST,Consultation skipped due to costs,M,Male,TOTAL_16,16 years and over,LOW_CI,Lower confidence interval,9,,
AUS,Australia,TIME10,2010,COSKCOST,Consultation skipped due to costs,M,Male,TOTAL_16,16 years and over,UP_CI,Upper confidence interval,13.7,,
AUS,Australia,TIME12,2012,COSKCOST,Consultation skipped due to costs,M,Male,TOTAL_16,16 years and over,LOW_CI,Lower confidence interval,15.1,B,Break
AUS,Australia,TIME12,2012,COSKCOST,Consultation skipped due to costs,M,Male,TOTAL_16,16 years and over,UP_CI,Upper confidence interval,16.8,B,Break
AUS,Australia,TIME10,2010,MTSKCOST,"Medical tests, treatment or follow-up skipped due to costs",M,Male,TOTAL_16,16 years and over,LOW_CI,Lower confidence interval,9.9,,
AUS,Australia,TIME10,2010,MTSKCOST,"Medical tests, treatment or follow-up skipped due to costs",M,Male,TOTAL_16,16 years and over,UP_CI,Upper confidence interval,15.1,,
AUS,Australia,TIME12,2012,MTSKCOST,"Medical tests, treatment or follow-up skipped due to costs",M,Male,TOTAL_16,16 years and over,LOW_CI,Lower confidence interval,3.6,B,Break
AUS,Australia,TIME12,2012,MTSKCOST,"Medical tests, treatment or follow-up skipped due to costs",M,Male,TOTAL_16,16 years and over,UP_CI,Upper confidence interval,5,B,Break
AUS,Australia,TIME10,2010,PMSKCOST,Prescribed medicines skipped due to costs,M,Male,TOTAL_16,16 years and over,LOW_CI,Lower confidence interval,8.9,,
AUS,Australia,TIME10,2010,PMSKCOST,Prescribed medicines skipped due to costs,M,Male,TOTAL_16,16 years and over,UP_CI,Upper confidence interval,13.5,,
AUS,Australia,TIME12,2012,PMSKCOST,Prescribed medicines skipped due to costs,M,Male,TOTAL_16,16 years and over,LOW_CI,Lower confidence interval,6.8,B,Break
AUS,Australia,TIME12,2012,PMSKCOST,Prescribed medicines skipped due to costs,M,Male,TOTAL_16,16 years and over,UP_CI,Upper confidence interval,8.3,B,Break
AUS,Australia,TIME12,2012,HPRTIPAT,Patients reporting having spent enough time with any doctor during the consultation,M,Male,TOTAL_16,16 years and over,LOW_CI,Lower confidence interval,86.3,,
AUS,Australia,TIME12,2012,HPRTIPAT,Patients reporting having spent enough time with any doctor during the consultation,M,Male,TOTAL_16,16 years and over,UP_CI,Upper confidence interval,88.1,,
AUS,Australia,TIME10,2010,RHPTIPAT,Patients reporting having spent enough time with their regular doctor during the consultation,M,Male,TOTAL_16,16 years and over,LOW_CI,Lower confidence interval,86.3,,
AUS,Australia,TIME10,2010,RHPTIPAT,Patients reporting having spent enough time with their regular doctor during the consultation,M,Male,TOTAL_16,16 years and over,UP_CI,Upper confidence interval,88.1,,
AUS,Australia,TIME10,2010,RHPEXCLA,Patients reporting having received easy-to-understand explanations by their regular doctor,M,Male,TOTAL_16,16 years and over,LOW_CI,Lower confidence interval,88.9,,
AUS,Australia,TIME10,2010,RHPEXCLA,Patients reporting having received easy-to-understand explanations by their regular doctor,M,Male,TOTAL_16,16 years and over,UP_CI,Upper confidence interval,93.4,,
AUS,Australia,TIME10,2010,RHPGOASK,Patients reporting having had the opportunity to ask questions or raise concerns to their regular doctor,M,Male,TOTAL_16,16 years and over,LOW_CI,Lower confidence interval,83.7,,
AUS,Australia,TIME10,2010,RHPGOASK,Patients reporting having had the opportunity to ask questions or raise concerns to their regular doctor,M,Male,TOTAL_16,16 years and over,UP_CI,Upper confidence interval,89.7,,
AUS,Australia,TIME10,2010,RHPIPDEC,Patients reporting having been involved in decisions about care or treatment by their regular doctor,M,Male,TOTAL_16,16 years and over,LOW_CI,Lower confidence interval,81.7,,
AUS,Australia,TIME10,2010,RHPIPDEC,Patients reporting having been involved in decisions about care or treatment by their regular doctor,M,Male,TOTAL_16,16 years and over,UP_CI,Upper confidence interval,88.1,,
AUS,Australia,TIME10,2010,COSKCOST,Consultation skipped due to costs,F,Female,TOTAL_16,16 years and over,LOW_CI,Lower confidence interval,12.9,,
AUS,Australia,TIME10,2010,COSKCOST,Consultation skipped due to costs,F,Female,TOTAL_16,16 years and over,UP_CI,Upper confidence interval,17.3,,
AUS,Australia,TIME12,2012,COSKCOST,Consultation skipped due to costs,F,Female,TOTAL_16,16 years and over,LOW_CI,Lower confidence interval,20.9,B,Break
AUS,Australia,TIME12,2012,COSKCOST,Consultation skipped due to costs,F,Female,TOTAL_16,16 years and over,UP_CI,Upper confidence interval,22.5,B,Break
AUS,Australia,TIME10,2010,MTSKCOST,"Medical tests, treatment or follow-up skipped due to costs",F,Female,TOTAL_16,16 years and over,LOW_CI,Lower confidence interval,13.4,,
AUS,Australia,TIME10,2010,MTSKCOST,"Medical tests, treatment or follow-up skipped due to costs",F,Female,TOTAL_16,16 years and over,UP_CI,Upper confidence interval,17.9,,
AUS,Australia,TIME12,2012,MTSKCOST,"Medical tests, treatment or follow-up skipped due to costs",F,Female,TOTAL_16,16 years and over,LOW_CI,Lower confidence interval,4.9,B,Break
AUS,Australia,TIME12,2012,MTSKCOST,"Medical tests, treatment or follow-up skipped due to costs",F,Female,TOTAL_16,16 years and over,UP_CI,Upper confidence interval,5.9,B,Break
AUS,Australia,TIME10,2010,PMSKCOST,Prescribed medicines skipped due to costs,F,Female,TOTAL_16,16 years and over,LOW_CI,Lower confidence interval,11.9,,
AUS,Australia,TIME10,2010,PMSKCOST,Prescribed medicines skipped due to costs,F,Female,TOTAL_16,16 years and over,UP_CI,Upper confidence interval,16.1,,
AUS,Australia,TIME12,2012,PMSKCOST,Prescribed medicines skipped due to costs,F,Female,TOTAL_16,16 years and over,LOW_CI,Lower confidence interval,10.2,B,Break
AUS,Australia,TIME12,2012,PMSKCOST,Prescribed medicines skipped due to costs,F,Female,TOTAL_16,16 years and over,UP_CI,Upper confidence interval,11.6,B,Break
AUS,Australia,TIME12,2012,HPRTIPAT,Patients reporting having spent enough time with any doctor during the consultation,F,Female,TOTAL_16,16 years and over,LOW_CI,Lower confidence interval,85.1,,
AUS,Australia,TIME12,2012,HPRTIPAT,Patients reporting having spent enough time with any doctor during the consultation,F,Female,TOTAL_16,16 years and over,UP_CI,Upper confidence interval,86.6,,
AUS,Australia,TIME10,2010,RHPTIPAT,Patients reporting having spent enough time with their regular doctor during the consultation,F,Female,TOTAL_16,16 years and over,LOW_CI,Lower confidence interval,85.1,,
AUS,Australia,TIME10,2010,RHPTIPAT,Patients reporting having spent enough time with their regular doctor during the consultation,F,Female,TOTAL_16,16 years and over,UP_CI,Upper confidence interval,86.6,,
AUS,Australia,TIME10,2010,RHPEXCLA,Patients reporting having received easy-to-understand explanations by their regular doctor,F,Female,TOTAL_16,16 years and over,LOW_CI,Lower confidence interval,88.8,,
AUS,Australia,TIME10,2010,RHPEXCLA,Patients reporting having received easy-to-understand explanations by their regular doctor,F,Female,TOTAL_16,16 years and over,UP_CI,Upper confidence interval,92.8,,
AUS,Australia,TIME10,2010,RHPGOASK,Patients reporting having had the opportunity to ask questions or raise concerns to their regular doctor,F,Female,TOTAL_16,16 years and over,LOW_CI,Lower confidence interval,87.6,,
AUS,Australia,TIME10,2010,RHPGOASK,Patients reporting having had the opportunity to ask questions or raise concerns to their regular doctor,F,Female,TOTAL_16,16 years and over,UP_CI,Upper confidence interval,91.9,,
AUS,Australia,TIME10,2010,RHPIPDEC,Patients reporting having been involved in decisions about care or treatment by their regular doctor,F,Female,TOTAL_16,16 years and over,LOW_CI,Lower confidence interval,86.7,,
AUS,Australia,TIME10,2010,RHPIPDEC,Patients reporting having been involved in decisions about care or treatment by their regular doctor,F,Female,TOTAL_16,16 years and over,UP_CI,Upper confidence interval,91,,
AUS,Australia,TIME10,2010,COSKCOST,Consultation skipped due to costs,T,Total,TOTAL_16,16 years and over,LOW_CI,Lower confidence interval,11.6,,
AUS,Australia,TIME10,2010,COSKCOST,Consultation skipped due to costs,T,Total,TOTAL_16,16 years and over,UP_CI,Upper confidence interval,14.8,,
AUS,Australia,TIME12,2012,COSKCOST,Consultation skipped due to costs,T,Total,TOTAL_16,16 years and over,LOW_CI,Lower confidence interval,18.3,B,Break
AUS,Australia,TIME12,2012,COSKCOST,Consultation skipped due to costs,T,Total,TOTAL_16,16 years and over,UP_CI,Upper confidence interval,19.4,B,Break
AUS,Australia,TIME10,2010,MTSKCOST,"Medical tests, treatment or follow-up skipped due to costs",T,Total,TOTAL_16,16 years and over,LOW_CI,Lower confidence interval,12.3,,
AUS,Australia,TIME10,2010,MTSKCOST,"Medical tests, treatment or follow-up skipped due to costs",T,Total,TOTAL_16,16 years and over,UP_CI,Upper confidence interval,15.8,,
AUS,Australia,TIME12,2012,MTSKCOST,"Medical tests, treatment or follow-up skipped due to costs",T,Total,TOTAL_16,16 years and over,LOW_CI,Lower confidence interval,4.4,B,Break
AUS,Australia,TIME12,2012,MTSKCOST,"Medical tests, treatment or follow-up skipped due to costs",T,Total,TOTAL_16,16 years and over,UP_CI,Upper confidence interval,5.3,B,Break
AUS,Australia,TIME10,2010,PMSKCOST,Prescribed medicines skipped due to costs,T,Total,TOTAL_16,16 years and over,LOW_CI,Lower confidence interval,11.1,,
AUS,Australia,TIME10,2010,PMSKCOST,Prescribed medicines skipped due to costs,T,Total,TOTAL_16,16 years and over,UP_CI,Upper confidence interval,14.2,,
AUS,Australia,TIME12,2012,PMSKCOST,Prescribed medicines skipped due to costs,T,Total,TOTAL_16,16 years and over,LOW_CI,Lower confidence interval,8.7,B,Break
AUS,Australia,TIME12,2012,PMSKCOST,Prescribed medicines skipped due to costs,T,Total,TOTAL_16,16 years and over,UP_CI,Upper confidence interval,9.8,B,Break
AUS,Australia,TIME12,2012,HPRTIPAT,Patients reporting having spent enough time with any doctor during the consultation,T,Total,TOTAL_16,16 years and over,LOW_CI,Lower confidence interval,86,,
AUS,Australia,TIME12,2012,HPRTIPAT,Patients reporting having spent enough time with any doctor during the consultation,T,Total,TOTAL_16,16 years and over,UP_CI,Upper confidence interval,87.1,,
