HF,Financing scheme,HC,Function,HP,Provider,MEASURE,Measure,LOCATION,Country,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2000,2000,USD,US Dollar,0,Units,2010,2010,1048.197,,
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2001,2001,USD,US Dollar,0,Units,2010,2010,1084.409,,
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2002,2002,USD,US Dollar,0,Units,2010,2010,1139.553,,
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2003,2003,USD,US Dollar,0,Units,2010,2010,1183.159,,
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2004,2004,USD,US Dollar,0,Units,2010,2010,1244.323,,
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2005,2005,USD,US Dollar,0,Units,2010,2010,1266.934,,
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2006,2006,USD,US Dollar,0,Units,2010,2010,1305.211,,
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2007,2007,USD,US Dollar,0,Units,2010,2010,1349.626,,
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2008,2008,USD,US Dollar,0,Units,2010,2010,1348.841,,
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2009,2009,USD,US Dollar,0,Units,2010,2010,1415.92,,
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2010,2010,USD,US Dollar,0,Units,2010,2010,1404.7,,
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2011,2011,USD,US Dollar,0,Units,2010,2010,1449.748,,
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2012,2012,USD,US Dollar,0,Units,2010,2010,1441.849,,
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2013,2013,USD,US Dollar,0,Units,2010,2010,1473.069,,
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2014,2014,USD,US Dollar,0,Units,2010,2010,1561.574,,
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2015,2015,USD,US Dollar,0,Units,2010,2010,1620.409,,
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",FIN,Finland,2000,2000,USD,US Dollar,0,Units,2010,2010,727.021,B,Break
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",FIN,Finland,2001,2001,USD,US Dollar,0,Units,2010,2010,780.815,,
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",FIN,Finland,2002,2002,USD,US Dollar,0,Units,2010,2010,887.924,,
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",FIN,Finland,2003,2003,USD,US Dollar,0,Units,2010,2010,923.534,,
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",FIN,Finland,2004,2004,USD,US Dollar,0,Units,2010,2010,965.742,,
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",FIN,Finland,2005,2005,USD,US Dollar,0,Units,2010,2010,1005.664,,
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",FIN,Finland,2006,2006,USD,US Dollar,0,Units,2010,2010,1042.723,,
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",FIN,Finland,2007,2007,USD,US Dollar,0,Units,2010,2010,1046.753,,
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",FIN,Finland,2008,2008,USD,US Dollar,0,Units,2010,2010,1080.573,,
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",FIN,Finland,2009,2009,USD,US Dollar,0,Units,2010,2010,1078.687,,
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",FIN,Finland,2010,2010,USD,US Dollar,0,Units,2010,2010,1104.053,,
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",FIN,Finland,2011,2011,USD,US Dollar,0,Units,2010,2010,1179.098,,
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",FIN,Finland,2012,2012,USD,US Dollar,0,Units,2010,2010,1191.557,,
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",FIN,Finland,2013,2013,USD,US Dollar,0,Units,2010,2010,1221.124,,
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",FIN,Finland,2014,2014,USD,US Dollar,0,Units,2010,2010,1195.986,,
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",FIN,Finland,2015,2015,USD,US Dollar,0,Units,2010,2010,1246.518,,
HFTOT,All financing schemes,HC1HC2,Curative and rehabilitative care,HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",FIN,Finland,2016,2016,USD,US Dollar,0,Units,2010,2010,1255.928,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2008,2008,USD,US Dollar,0,Units,2010,2010,5.396,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2009,2009,USD,US Dollar,0,Units,2010,2010,5.798,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2010,2010,USD,US Dollar,0,Units,2010,2010,6.031,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2011,2011,USD,US Dollar,0,Units,2010,2010,7.578,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2012,2012,USD,US Dollar,0,Units,2010,2010,7.399,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2013,2013,USD,US Dollar,0,Units,2010,2010,8.106,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2014,2014,USD,US Dollar,0,Units,2010,2010,9.615,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2015,2015,USD,US Dollar,0,Units,2010,2010,7.712,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",FIN,Finland,2002,2002,USD,US Dollar,0,Units,2010,2010,2.116,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",FIN,Finland,2003,2003,USD,US Dollar,0,Units,2010,2010,2.249,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",FIN,Finland,2004,2004,USD,US Dollar,0,Units,2010,2010,2.064,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",FIN,Finland,2005,2005,USD,US Dollar,0,Units,2010,2010,2.153,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",FIN,Finland,2006,2006,USD,US Dollar,0,Units,2010,2010,2.307,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",FIN,Finland,2007,2007,USD,US Dollar,0,Units,2010,2010,2.164,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",FIN,Finland,2008,2008,USD,US Dollar,0,Units,2010,2010,2.111,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",FIN,Finland,2009,2009,USD,US Dollar,0,Units,2010,2010,2.067,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",FIN,Finland,2010,2010,USD,US Dollar,0,Units,2010,2010,2.129,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",FIN,Finland,2011,2011,USD,US Dollar,0,Units,2010,2010,2.898,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",FIN,Finland,2012,2012,USD,US Dollar,0,Units,2010,2010,2.935,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",FIN,Finland,2013,2013,USD,US Dollar,0,Units,2010,2010,2.545,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",FIN,Finland,2014,2014,USD,US Dollar,0,Units,2010,2010,2.636,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",FIN,Finland,2015,2015,USD,US Dollar,0,Units,2010,2010,3.765,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",FIN,Finland,2016,2016,USD,US Dollar,0,Units,2010,2010,3.603,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2000,2000,USD,US Dollar,0,Units,2010,2010,13.877,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2001,2001,USD,US Dollar,0,Units,2010,2010,17.757,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2002,2002,USD,US Dollar,0,Units,2010,2010,17.221,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2003,2003,USD,US Dollar,0,Units,2010,2010,21.182,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2004,2004,USD,US Dollar,0,Units,2010,2010,23.392,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2005,2005,USD,US Dollar,0,Units,2010,2010,24.5,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2006,2006,USD,US Dollar,0,Units,2010,2010,26.04,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2007,2007,USD,US Dollar,0,Units,2010,2010,27.368,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2008,2008,USD,US Dollar,0,Units,2010,2010,29.411,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2009,2009,USD,US Dollar,0,Units,2010,2010,32.598,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2010,2010,USD,US Dollar,0,Units,2010,2010,32.712,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2011,2011,USD,US Dollar,0,Units,2010,2010,33.209,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2012,2012,USD,US Dollar,0,Units,2010,2010,35.621,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2013,2013,USD,US Dollar,0,Units,2010,2010,37.309,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2014,2014,USD,US Dollar,0,Units,2010,2010,39.435,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",AUS,Australia,2015,2015,USD,US Dollar,0,Units,2010,2010,47.186,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",DNK,Denmark,2000,2000,USD,US Dollar,0,Units,2010,2010,108.528,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",DNK,Denmark,2001,2001,USD,US Dollar,0,Units,2010,2010,113.249,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",DNK,Denmark,2002,2002,USD,US Dollar,0,Units,2010,2010,117.774,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",DNK,Denmark,2003,2003,USD,US Dollar,0,Units,2010,2010,122.824,B,Break
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",DNK,Denmark,2004,2004,USD,US Dollar,0,Units,2010,2010,125.864,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",DNK,Denmark,2005,2005,USD,US Dollar,0,Units,2010,2010,130.55,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",DNK,Denmark,2006,2006,USD,US Dollar,0,Units,2010,2010,138.266,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",DNK,Denmark,2007,2007,USD,US Dollar,0,Units,2010,2010,121.445,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",DNK,Denmark,2008,2008,USD,US Dollar,0,Units,2010,2010,116.064,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",DNK,Denmark,2009,2009,USD,US Dollar,0,Units,2010,2010,150.841,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",DNK,Denmark,2010,2010,USD,US Dollar,0,Units,2010,2010,146.411,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",DNK,Denmark,2011,2011,USD,US Dollar,0,Units,2010,2010,128.975,B,Break
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",DNK,Denmark,2012,2012,USD,US Dollar,0,Units,2010,2010,108.005,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",DNK,Denmark,2013,2013,USD,US Dollar,0,Units,2010,2010,140.457,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",DNK,Denmark,2014,2014,USD,US Dollar,0,Units,2010,2010,133.801,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",DNK,Denmark,2015,2015,USD,US Dollar,0,Units,2010,2010,139.599,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",DNK,Denmark,2016,2016,USD,US Dollar,0,Units,2010,2010,136.704,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",CZE,Czech Republic,2003,2003,USD,US Dollar,0,Units,2010,2010,51.581,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",CZE,Czech Republic,2004,2004,USD,US Dollar,0,Units,2010,2010,61.413,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",CZE,Czech Republic,2005,2005,USD,US Dollar,0,Units,2010,2010,70.273,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",CZE,Czech Republic,2006,2006,USD,US Dollar,0,Units,2010,2010,69.404,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",CZE,Czech Republic,2007,2007,USD,US Dollar,0,Units,2010,2010,54.711,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",CZE,Czech Republic,2008,2008,USD,US Dollar,0,Units,2010,2010,52.14,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",CZE,Czech Republic,2009,2009,USD,US Dollar,0,Units,2010,2010,61.651,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HP11,General hospitals,VRPPPR,"Per capita, constant prices, constant PPPs, OECD base year",CZE,Czech Republic,2010,2010,USD,US Dollar,0,Units,2010,2010,56.22,,
