VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,Flag Codes,Flags
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),AUS,Australia,2000,2000,11.97,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),AUS,Australia,2001,2001,12.39,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),AUS,Australia,2002,2002,12.4,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),AUS,Australia,2003,2003,12.77,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),AUS,Australia,2004,2004,12.95,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),AUS,Australia,2005,2005,13.34,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),AUS,Australia,2006,2006,13.76,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),AUS,Australia,2008,2008,13.94,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),AUS,Australia,2009,2009,14.05,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),AUS,Australia,2010,2010,14.46,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),AUS,Australia,2011,2011,14.53,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),AUS,Australia,2012,2012,14.56,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),AUS,Australia,2013,2013,14.92,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),AUS,Australia,2014,2014,16.61,B,Break
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),AUS,Australia,2015,2015,17.68,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),AUT,Austria,2000,2000,15.83,E,Estimated value
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),AUT,Austria,2001,2001,15.77,E,Estimated value
